path,filter,best_f1
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,unet_0,0.8963133640552995
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_9,0.8379052369077307
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_11,0.8813953488372094
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_13,0.8916478555304742
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_15,0.8891402714932127
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_17,0.8866666666666665
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_19,0.8873720136518771
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,mean_21,0.884742041712404
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_9,0.8394768133174793
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_11,0.8733727810650889
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_13,0.8873563218390804
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_15,0.8873563218390804
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_17,0.8860759493670886
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_19,0.8866666666666665
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,gaussian_21,0.8856825749167592
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_9,0.8465227817745803
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_11,0.8614668218859138
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_13,0.8651817116060961
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_15,0.8716216216216216
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_17,0.8836689038031319
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_19,0.8774341351660938
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,median_21,0.8827433628318584
he_10_pic_run08012_ev82_unet_mean_gaussian_median_cygno,cygno_0,0.17268041237113402
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,unet_0,0.9019165727170236
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_9,0.7760814249363869
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_11,0.8377358490566039
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_13,0.8768699654775605
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_15,0.8883666274970623
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_17,0.8874172185430464
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_19,0.8866666666666667
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,mean_21,0.8859060402684563
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_9,0.8056994818652848
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_11,0.8606965174129353
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_13,0.8849765258215961
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_15,0.8881278538812786
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_17,0.8871151653363741
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_19,0.8893956670467502
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,gaussian_21,0.8886310904872391
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_9,0.843520782396088
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_11,0.8633093525179856
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_13,0.8707799767171129
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_15,0.8805620608899297
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_17,0.8820286659316429
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_19,0.8863892013498312
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,median_21,0.8816964285714286
he_10_pic_run08012_ev8_unet_mean_gaussian_median_cygno,cygno_0,0.15179487179487178
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,unet_0,0.8881431767337807
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_9,0.8095838587641866
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_11,0.8706697459584295
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_13,0.8786885245901638
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_15,0.878483835005574
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_17,0.8752783964365256
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_19,0.8748615725359912
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,mean_21,0.8742921857304643
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_9,0.8201970443349754
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_11,0.8668941979522183
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_13,0.8820286659316428
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_15,0.8840262582056894
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_17,0.8835164835164836
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_19,0.8825466520307355
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,gaussian_21,0.8835164835164836
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_9,0.8536880290205562
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_11,0.8656036446469249
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_13,0.867579908675799
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_15,0.8756875687568757
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_17,0.8709338929695698
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_19,0.8685968819599109
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,median_21,0.8680412371134021
he_10_pic_run08012_ev10_unet_mean_gaussian_median_cygno,cygno_0,0.16228571428571428
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,unet_0,0.8960893854748603
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_9,0.8443337484433374
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_11,0.8901869158878505
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_13,0.8855291576673866
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_15,0.8891280947255112
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_17,0.8855291576673866
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_19,0.8874734607218684
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,mean_21,0.8861330326944756
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_9,0.8396572827417381
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_11,0.8815943728018758
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_13,0.8857453754080522
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_15,0.8886486486486488
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_17,0.8869565217391304
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_19,0.8872340425531915
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,gaussian_21,0.8874172185430463
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_9,0.8275
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_11,0.8612652608213097
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_13,0.8645598194130927
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_15,0.8700440528634359
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_17,0.8741721854304636
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_19,0.8691891891891893
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,median_21,0.8624862486248625
he_10_pic_run08012_ev36_unet_mean_gaussian_median_cygno,cygno_0,0.1683168316831683
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,unet_0,0.9065743944636678
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_9,0.8220230473751601
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_11,0.8728179551122194
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_13,0.8901869158878505
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_15,0.8988505747126436
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_17,0.899884925201381
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_19,0.9006928406466512
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,mean_21,0.8963133640552996
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_9,0.8358974358974358
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_11,0.8760330578512397
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_13,0.8922716627634659
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_15,0.8979143798024151
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_17,0.8979143798024151
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_19,0.8997772828507795
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,gaussian_21,0.8987764182424917
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_9,0.8547215496368038
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_11,0.8621908127208481
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_13,0.8794326241134751
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_15,0.8861607142857142
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_17,0.8878612716763006
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_19,0.8967889908256882
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,median_21,0.8971098265895954
he_10_pic_run08012_ev83_unet_mean_gaussian_median_cygno,cygno_0,0.16289592760180996
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,unet_0,0.8923418423973363
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,mean_9,0.8540925266903915
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,mean_11,0.8819444444444444
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,mean_13,0.8845265588914549
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,mean_15,0.8871331828442437
